"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Properties", "TypeScript", "Markdown", "HTML", "PostCSS", "XML", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"d:\Диплом\accounting_of_working\test\src\features\mechanic\pages\MechanicRequests.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 222, 0, 2, 27, 251
"d:\Диплом\accounting_of_working\test\src\features\mechanic\pages\MechanicWarehouse.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 264, 0, 32, 42, 338
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\StokekeeperLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\api.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 5, 45
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\components\Inventory\CreateConsumableModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 12, 104
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\components\Inventory\InventoryItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 1, 12, 234
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\components\Inventory\InventoryList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 9, 115
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\components\Inventory\StatsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 5, 43
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 1, 7, 73
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\components\Topbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\components\requests\RequestsItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 1, 13, 124
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\components\requests\RequestsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 16, 14, 91
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\pages\StokekeeperInventory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 16, 169
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\pages\StokekeeperReports.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 281, 0, 8, 37, 326
"d:\Диплом\accounting_of_working\test\src\features\storekeeper\pages\StokekeeperRequests.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\Диплом\accounting_of_working\test\src\hooks\useAppDispatch.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Диплом\accounting_of_working\test\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 9, 65
"d:\Диплом\accounting_of_working\test\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\Диплом\accounting_of_working\test\src\routes\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 7, 27
"d:\Диплом\accounting_of_working\test\src\shared\api\axios.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\Диплом\accounting_of_working\test\src\shared\styles\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 13, 15, 76
"d:\Диплом\accounting_of_working\test\src\shared\styles\components\FormAuth\formAuth.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 6, 47
"d:\Диплом\accounting_of_working\test\src\shared\styles\components\UserItem\UserItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 9, 57
"d:\Диплом\accounting_of_working\test\src\shared\styles\components\editUserModal\editUserModal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 12, 85
"d:\Диплом\accounting_of_working\test\src\shared\styles\components\searchUsers\searchUsers.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"d:\Диплом\accounting_of_working\test\src\shared\styles\mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\Layout\adminLayout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 17, 135
